"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p75"
24510080400,"Broadway East, Baltimore, MD",0.6588
24510080700,"Broadway East, Baltimore, MD",0.6352
24510190100,"Franklin Square, Baltimore, MD",0.6341
24510160600,"Mosher, Baltimore, MD",0.5852
24510080800,"Broadway East, Baltimore, MD",0.5064
24510100200,"Baltimore, MD",0.5026
24510150600,"NW Community Action, Baltimore, MD",0.4989
24510250204,"Cherry Hill, Baltimore, MD",0.4971
24510080500,"Darley Park, Baltimore, MD",0.4953
24510271802,"Langston Hughes, Baltimore, MD",0.4927
24510150500,"Burleith-Leighton, Baltimore, MD",0.4925
24510060300,"Butchers Hill, Baltimore, MD",0.4823
24510200702,"Saint Joseph's, Baltimore, MD",0.4803
24510140300,"Druid Heights, Baltimore, MD",0.4794
24510200100,"Lexington, Baltimore, MD",0.4765
24510130300,"Penn North, Baltimore, MD",0.4726
24510120500,"Greenmount West, Baltimore, MD",0.4702
24510090900,"Oliver, Baltimore, MD",0.4657
24510120300,"Harwood, Baltimore, MD",0.4573
24510080102,"Belair - Edison, Baltimore, MD",0.4565
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.4554
24510200701,"Allendale, Baltimore, MD",0.4526
24510250207,"Cherry Hill, Baltimore, MD",0.4475
24510150800,"Garwyn Oaks, Baltimore, MD",0.4451
24510130100,"Reservoir Hill, Baltimore, MD",0.441
24510280402,"Rognel Heights, Baltimore, MD",0.4342
24510170300,"Upton, Baltimore, MD",0.4311
24510160802,"Edmondson, Baltimore, MD",0.4298
24510280500,"Pleasant View Gardens, Baltimore, MD",0.4278
24510260402,"Frankford, Baltimore, MD",0.427
24510190200,"Pratt Monroe, Baltimore, MD",0.4248
24510100100,"Johnson Square, Baltimore, MD",0.4212
24510080301,"Berea, Baltimore, MD",0.4133
24510150400,"Mondawmin, Baltimore, MD",0.4123
24510210200,"Pigtown, Baltimore, MD",0.4064
24510280200,"Gwynn Oak, Baltimore, MD",0.4053
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.4007
24510160801,"Edmondson, Baltimore, MD",0.3974
24510150300,"Coppin Heights, Baltimore, MD",0.3966
24510070400,"Gay Street, Baltimore, MD",0.3913
24510170200,"McCulloh Homes, Baltimore, MD",0.3912
24005401102,"Gwynn Oak, Woodlawn, MD",0.3912
24510120400,"Barclay, Baltimore, MD",0.3865
24510150200,"Sandtown-Winchester, Baltimore, MD",0.3828
24510150702,"Walbrook, Baltimore, MD",0.3753
24510260403,"Cedonia, Baltimore, MD",0.3685
24510180200,"Poppleton, Baltimore, MD",0.3629
24510250301,"Westport, Baltimore, MD",0.357
24510080200,"Broadway East, Baltimore, MD",0.3549
24510080302,"Berea, Baltimore, MD",0.3508
24510130804,"Hampden, Baltimore, MD",0.3487
24510060400,"Baltimore, MD",0.3459
24510070300,"Milton - Montford, Baltimore, MD",0.3455
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.3451
24510230300,"South Baltimore, Baltimore, MD",0.3436
24510030100,"Perkins Homes, Baltimore, MD",0.3417
24510250303,"Morrell Park, Baltimore, MD",0.3409
24510271002,"Winston - Govans, Baltimore, MD",0.3341
24510090800,"East Baltimore Midway, Baltimore, MD",0.3336
24510080600,"Broadway East, Baltimore, MD",0.3318
24510271001,"Baltimore, MD",0.331
24510200800,"Irvington, Baltimore, MD",0.3292
24510271600,"Edgecomb, Baltimore, MD",0.3266
24510260302,"Belair - Edison, Baltimore, MD",0.3218
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.3169
24510260303,"Claremont - Freedom, Baltimore, MD",0.314
24510120700,"Remington, Baltimore, MD",0.3104
24510180100,"Poppleton, Baltimore, MD",0.3066
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.3063
24510270802,"Ramblewood, Baltimore, MD",0.3058
24510271801,"Arlington, Baltimore, MD",0.3024
24510160300,"Sandtown-Winchester, Baltimore, MD",0.3017
24005421000,"Dundalk, MD",0.299
24510200200,"Lexington, Baltimore, MD",0.2956
24510250205,"Lakeland, Baltimore, MD",0.2936
24510270901,"New Northwood, Baltimore, MD",0.2925
24510060100,"Patterson Park, Baltimore, MD",0.2922
24510260202,"Parkside, Baltimore, MD",0.2911
24510210100,"Pigtown, Baltimore, MD",0.289
24005451401,"Middle River, MD",0.2887
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.2856
24510200400,"Shipley Hill, Baltimore, MD",0.2853
24005402303,"Windsor Mill, Baltimore, MD",0.2831
24510150100,"Sandtown-Winchester, Baltimore, MD",0.2821
24005402304,"Gwynn Oak, Baltimore, MD",0.2816
24510151300,"Central Park Heights, Baltimore, MD",0.2814
24510270902,"Perring Loch, Baltimore, MD",0.2814
24510270803,"Loch Raven, Baltimore, MD",0.2812
24005402503,"Randallstown, MD",0.2796
24510280404,"Irvington, Baltimore, MD",0.2783
24510120600,"Old Goucher, Baltimore, MD",0.2762
24510070200,"Madison - Eastend, Baltimore, MD",0.2756
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2749
24510151200,"Park Circle, Baltimore, MD",0.2746
24510130600,"Hampden, Baltimore, MD",0.2706
24005450400,"Essex, MD",0.2663
24510090500,"Better Waverly, Baltimore, MD",0.2648
24510160400,"Midtown Edmondson, Baltimore, MD",0.2624
24005450504,"Essex, MD",0.2624
24005402404,"Gwynn Oak, Lochearn, MD",0.2606
24510230100,"Baltimore, MD",0.2602
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2593
24005451402,"Middle River, MD",0.2592
24510190300,"Mount Clare, Baltimore, MD",0.2583
24510270805,"Mid-Govans, Baltimore, MD",0.2577
24005402307,"Pikesville, MD",0.2554
24510260201,"Frankford, Baltimore, MD",0.2551
24005401506,"Windsor Mill, Baltimore, MD",0.2546
24005451500,"Middle River, MD",0.2545
24510250203,"Cherry Hill, Baltimore, MD",0.2523
24510271503,"Cross Keys, Baltimore, MD",0.2498
24510260203,"Frankford, Baltimore, MD",0.2487
24510160700,"Rosemont, Baltimore, MD",0.2448
24510280102,"Gwynn Oak, Baltimore, MD",0.2416
24510260604,"O'Donnell Heights, Baltimore, MD",0.2409
24510240100,"Locust Point, Baltimore, MD",0.2401
24510250402,"Brooklyn, Baltimore, MD",0.2378
24510160100,"Harlem Park, Baltimore, MD",0.2364
24510200500,"Mill Hill, Baltimore, MD",0.2356
24510151100,"East Arlington, Baltimore, MD",0.2307
24510260800,"Baltimore Highlands, Baltimore, MD",0.2301
24510060200,"Baltimore, MD",0.229
24510270801,"Idlewood, Baltimore, MD",0.2287
24510250500,"Curtis Bay, Baltimore, MD",0.2285
24005421300,"Dundalk, MD",0.2281
24510151000,"Dorchester, Baltimore, MD",0.2243
24005491401,"Parkville, MD",0.2198
24510270401,"Glenham-Belford, Baltimore, MD",0.2185
24005401507,"Windsor Mill, Baltimore, MD",0.2166
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.216
24510010100,"Canton, Baltimore, MD",0.2138
24005402602,"Randallstown, MD",0.2136
24005402407,"Windsor Mill, Milford Mill, MD",0.2128
24510020100,"Upper Fells Point, Baltimore, MD",0.2113
24510260301,"Belair - Edison, Baltimore, MD",0.2109
24005402306,"Windsor Mill, Baltimore, MD",0.2101
24005420100,"Dundalk, MD",0.21
24005403202,"Gwynn Oak, Baltimore, MD",0.2096
24510271700,"Central Park Heights, Baltimore, MD",0.208
24005450503,"Essex, MD",0.2071
24003750803,"Glen Burnie, MD",0.206
24510030200,"Little Italy, Baltimore, MD",0.205
24005492300,"Essex, MD",0.2042
24510270903,"Hillen, Baltimore, MD",0.204
24003750101,"Brooklyn Park, MD",0.2029
24510271900,"Glen, Baltimore, MD",0.1979
24005402405,"Gwynn Oak, Baltimore, MD",0.1975
24005402406,"Windsor Mill, Milford Mill, MD",0.1974
24510280101,"Reisterstown Station, Baltimore, MD",0.1963
24005420600,"Baltimore, MD",0.1954
24510200600,"Baltimore, MD",0.1934
24005441000,"Baltimore, MD",0.1928
24510270200,"Lauraville, Baltimore, MD",0.191
24510250101,"Beechfield, Baltimore, MD",0.1902
24510280401,"Baltimore, MD",0.1901
24005452400,"Dundalk, MD",0.189
24003750202,"Brooklyn Park, MD",0.1863
24003750201,"Brooklyn, Baltimore, MD",0.1859
24510260102,"Frankford, Baltimore, MD",0.1858
24510130805,"Cold Springs, Baltimore, MD",0.1855
24510130200,"Reservoir Hill, Baltimore, MD",0.1851
24510090400,"Better Waverly, Baltimore, MD",0.1847
24005401301,"Woodlawn, MD",0.1829
24510140200,"Upton, Baltimore, MD",0.1812
24510250401,"Brooklyn, Baltimore, MD",0.1802
24005421102,"Dundalk, MD",0.1794
24510271102,"Mid-Charles, Baltimore, MD",0.1786
24003750203,"Baltimore, MD",0.1783
24510150900,"Windsor Hills, Baltimore, MD",0.1781
24005450501,"Essex, MD",0.1781
24510250102,"Yale Heights, Baltimore, MD",0.1779
24510260401,"Armistead Gardens, Baltimore, MD",0.1756
24005420800,"Dundalk, MD",0.1751
24003751102,"Glen Burnie, MD",0.1751
24510280301,"Gwynn Oak, Baltimore, MD",0.1729
24510110100,"Downtown, Baltimore, MD",0.1715
24510270301,"Lauraville, Baltimore, MD",0.1712
24510260101,"Cedmont, Baltimore, MD",0.1705
24510080101,"Belair - Edison, Baltimore, MD",0.1697
24005402506,"Randallstown, MD",0.1695
24005430900,"Baltimore, MD",0.1674
24510070100,"Baltimore, MD",0.1672
24005402504,"Randallstown, MD",0.1657
24005492102,"Parkville, MD",0.165
24510180300,"Hollins Market, Baltimore, MD",0.1638
24005420402,"Dundalk, MD",0.1624
24510170100,"Downtown, Baltimore, MD",0.1607
24510270102,"Waltherson, Baltimore, MD",0.1605
24005452500,"Dundalk, MD",0.1589
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1585
24005440400,"Baltimore, MD",0.1582
24510130700,"Hampden, Baltimore, MD",0.1563
24005420401,"Dundalk, MD",0.1563
24005451300,"Middle River, MD",0.1541
24510230200,"South Baltimore, Baltimore, MD",0.1534
24005402302,"Windsor Mill, Milford Mill, MD",0.1528
24510260605,"Medford - Broening, Baltimore, MD",0.1526
24005401101,"Woodlawn, MD",0.1519
24005451100,"Essex, MD",0.1481
24005440500,"Nottingham, MD",0.1476
24003750102,"Baltimore, MD",0.1474
24005452300,"Baltimore, MD",0.1472
24005401302,"Gwynn Oak, Baltimore, MD",0.1468
24005452000,"Sparrows Point, MD",0.1467
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.145
24005400900,"Catonsville, MD",0.1441
24005402604,"Randallstown, MD",0.1415
24005441102,"Rosedale, MD",0.1415
24005402403,"Gwynn Oak, Baltimore, MD",0.141
24005420702,"Dundalk, MD",0.1405
24005420302,"Dundalk, MD",0.1401
24005450100,"Rosedale, MD",0.1398
24510270501,"Woodring, Baltimore, MD",0.1393
24005430800,"Halethorpe, MD",0.1387
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1374
24005430400,"Halethorpe, MD",0.1373
24005440702,"Rosedale, MD",0.1361
24510270402,"Glenham-Belford, Baltimore, MD",0.1348
24005401200,"Woodlawn, MD",0.1348
24510130400,"Woodbrook, Baltimore, MD",0.1346
24510280302,"West Forest Park, Baltimore, MD",0.1343
24005450200,"Essex, MD",0.1341
24005451701,"Middle River, MD",0.1333
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1313
24510280403,"Westgate, Baltimore, MD",0.1312
24510272006,"Glen, Baltimore, MD",0.1306
24005400701,"Catonsville, MD",0.1303
24510120201,"Baltimore, MD",0.1291
24510020200,"Upper Fells Point, Baltimore, MD",0.1282
24510261000,"Patterson Park, Baltimore, MD",0.1273
24005451200,"Middle River, MD",0.1268
24510270502,"North Harford Road, Baltimore, MD",0.1268
24510010400,"Canton, Baltimore, MD",0.1268
24005401505,"Catonsville, MD",0.1256
24005440900,"Rosedale, MD",0.125
24510250103,"Violetville, Baltimore, MD",0.1242
24510110200,"Downtown, Baltimore, MD",0.1239
24005403300,"Lochearn, Pikesville, MD",0.1237
24003750300,"Linthicum Heights, MD",0.1236
24005451900,"Edgemere, MD",0.1231
24510140100,"Bolton Hill, Baltimore, MD",0.1217
24005403100,"Gwynn Oak, Pikesville, MD",0.1205
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1184
24027606707,"Columbia, MD",0.118
24027601204,"Elkridge, MD",0.1163
24005452100,"Sparrows Point, MD",0.1159
24510150701,"Hanlon Longwood, Baltimore, MD",0.1149
24005451600,"Middle River, MD",0.1148
24005421101,"Baltimore, MD",0.1143
24005450900,"Essex, MD",0.1139
24005403402,"Pikesville, MD",0.1124
24005430700,"Halethorpe, MD",0.1101
24510040100,"Downtown, Baltimore, MD",0.1099
24510250206,"Morrell Park, Baltimore, MD",0.1092
24510160200,"Sandtown-Winchester, Baltimore, MD",0.1083
24005441101,"Rosedale, MD",0.108
24510261100,"Canton, Baltimore, MD",0.1078
24005400800,"Catonsville, MD",0.1075
24005400702,"Baltimore, MD",0.1073
24003750801,"Glen Burnie, MD",0.1059
24005420200,"Dundalk, MD",0.1056
24027606606,"Long Reach, Columbia, MD",0.1051
24005400100,"Catonsville, MD",0.105
24005420900,"Dundalk, MD",0.1044
24510240400,"Riverside Park, Baltimore, MD",0.1035
24510270302,"Waltherson, Baltimore, MD",0.1034
24005440701,"Rosedale, MD",0.1023
24510240200,"Riverside, Baltimore, MD",0.1007
24510270804,"Lake Walker, Baltimore, MD",0.1002
24005402202,"Baltimore County, MD",0.0978
24510130806,"Woodberry, Baltimore, MD",0.0965
24510010500,"Upper Fells Point, Baltimore, MD",0.0943
24510240300,"Riverside, Baltimore, MD",0.0941
24005402305,"Lochearn, Pikesville, MD",0.0937
24510270703,"North Harford Road, Baltimore, MD",0.0936
24005440800,"Rosedale, MD",0.0934
24005420701,"Dundalk, MD",0.0928
24005420303,"Dundalk, MD",0.0926
24510272003,"Baltimore, MD",0.0925
24027606604,"Columbia, MD",0.0925
24003750400,"Linthicum Heights, MD",0.0906
24005451000,"Essex, MD",0.0906
24510260700,"Fifteenth Street, Baltimore, MD",0.0892
24005450800,"Essex, MD",0.0864
24510020300,"Fells Point, Baltimore, MD",0.0856
24027601105,"Ellicott City, MD",0.0856
24510272007,"Fallstaff, Baltimore, MD",0.0855
24027601201,"Elkridge, MD",0.0842
24003751200,"Linthicum Heights, MD",0.0841
24510270101,"Arcadia, Baltimore, MD",0.0823
24005401503,"Catonsville, MD",0.0776
24027606706,"Kendall Ridge, Columbia, MD",0.0774
24027601103,"West Elkridge, Elkridge, MD",0.0762
24005403401,"Pikesville, MD",0.0758
24005401400,"Catonsville, MD",0.0752
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.074
24005400200,"Catonsville, MD",0.0737
24005450300,"Essex, MD",0.0735
24005440200,"Nottingham, MD",0.0734
24510130803,"Medfield, Baltimore, MD",0.07
24510220100,"Baltimore, MD",0.0698
24005401504,"Catonsville, MD",0.0696
24510010300,"Canton, Baltimore, MD",0.0672
24005403201,"Gwynn Oak, Lochearn, MD",0.066
24027601108,"Ellicott City, MD",0.0649
24005491300,"Baltimore, MD",0.0644
24027602302,"Columbia, MD",0.064
24005440600,"Rosedale, MD",0.0634
24027606607,"Long Reach, Columbia, MD",0.0634
24027602900,"Normandy, Ellicott City, MD",0.0631
24005420301,"Dundalk, MD",0.0623
24005420500,"Baltimore, MD",0.0618
24005430600,"Relay, Halethorpe, MD",0.0612
24003750804,"Glen Burnie, MD",0.0598
24005400600,"Catonsville, MD",0.0583
24027602800,"Ellicott City, MD",0.0572
24005401000,"Catonsville, MD",0.0556
24005400500,"Catonsville, MD",0.0512
24027602700,"Taylor Village, Ellicott City, MD",0.0506
24005440300,"Nottingham, MD",0.0504
24510271200,"Homeland, Baltimore, MD",0.0503
24005440100,"Baltimore, MD",0.05
24510260900,"Baltimore, MD",0.0498
24027602600,"Ellicott City, MD",0.0486
24005491100,"Baltimore, MD",0.0479
24005400400,"Catonsville, MD",0.0465
24005411302,"White Marsh, MD",0.0453
24027601104,"Ellicott City, MD",0.0421
24510271400,"Evergreen, Baltimore, MD",0.0367
24510271101,"Radnor - Winston, Baltimore, MD",0.0328
24510010200,"Patterson Park, Baltimore, MD",0.0327
24005421200,"Dundalk, MD",0.0322
24510271501,"Mount Washington, Baltimore, MD",0.0298
24510272005,"Cross Country, Baltimore, MD",0.0287
24027602100,"Ellicott City, MD",0.0279
24510260501,"Joseph Lee, Baltimore, MD",0.0266
24510272004,"Cheswolde, Baltimore, MD",0.0258
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.022
24510260404,"Baltimore Highlands, Baltimore, MD",0.0207
24005403602,"Baltimore, MD",0.0182
24005490500,"Towson, MD",0.0151
24005490603,"Baltimore, MD",0.0144
24510271300,"Roland Park, Baltimore, MD",0.0121
24005403500,"Pikesville, MD",0.0094
24005490601,"Baltimore, MD",0.0014
24510120202,"Baltimore, MD",0.0005
24005403601,"Baltimore, MD",0
24005492500,"Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510040200,"Downtown, Baltimore, MD",