"tract","Name","Teenage_Birth_Rate_women_only_rB_gF_p25"
24005421101,"Baltimore, MD",0.7523
24510200500,"Mill Hill, Baltimore, MD",0.7126
24510270402,"Glenham-Belford, Baltimore, MD",0.7035
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.6894
24510120600,"Old Goucher, Baltimore, MD",0.6845
24510040100,"Downtown, Baltimore, MD",0.6792
24510030200,"Little Italy, Baltimore, MD",0.6689
24510260604,"O'Donnell Heights, Baltimore, MD",0.6675
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.657
24510280500,"Pleasant View Gardens, Baltimore, MD",0.648
24510250204,"Cherry Hill, Baltimore, MD",0.6454
24510200100,"Lexington, Baltimore, MD",0.6368
24510030100,"Perkins Homes, Baltimore, MD",0.633
24510190300,"Mount Clare, Baltimore, MD",0.6305
24510090900,"Oliver, Baltimore, MD",0.624
24510060100,"Patterson Park, Baltimore, MD",0.6204
24510110200,"Downtown, Baltimore, MD",0.62
24510060300,"Butchers Hill, Baltimore, MD",0.6198
24510200400,"Shipley Hill, Baltimore, MD",0.6169
24510080600,"Broadway East, Baltimore, MD",0.6168
24510010200,"Patterson Park, Baltimore, MD",0.6164
24510120400,"Barclay, Baltimore, MD",0.6161
24510261000,"Patterson Park, Baltimore, MD",0.615
24510271802,"Langston Hughes, Baltimore, MD",0.6145
24005450501,"Essex, MD",0.6129
24510100200,"Baltimore, MD",0.6109
24510170200,"McCulloh Homes, Baltimore, MD",0.6106
24510210200,"Pigtown, Baltimore, MD",0.6102
24005420900,"Dundalk, MD",0.6068
24510271001,"Baltimore, MD",0.6067
24510060200,"Baltimore, MD",0.6017
24005401505,"Catonsville, MD",0.5991
24510080500,"Darley Park, Baltimore, MD",0.5946
24510260101,"Cedmont, Baltimore, MD",0.5936
24510080200,"Broadway East, Baltimore, MD",0.5918
24510080302,"Berea, Baltimore, MD",0.5916
24510080800,"Broadway East, Baltimore, MD",0.5905
24510140100,"Bolton Hill, Baltimore, MD",0.5896
24005400900,"Catonsville, MD",0.5883
24510150500,"Burleith-Leighton, Baltimore, MD",0.5875
24005492300,"Essex, MD",0.5845
24510070400,"Gay Street, Baltimore, MD",0.5839
24510250301,"Westport, Baltimore, MD",0.5832
24510250203,"Cherry Hill, Baltimore, MD",0.5824
24510270101,"Arcadia, Baltimore, MD",0.582
24005430900,"Baltimore, MD",0.582
24510130300,"Penn North, Baltimore, MD",0.5815
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.5813
24510260403,"Cedonia, Baltimore, MD",0.5808
24510080102,"Belair - Edison, Baltimore, MD",0.5786
24510170300,"Upton, Baltimore, MD",0.5777
24510090500,"Better Waverly, Baltimore, MD",0.5767
24510260605,"Medford - Broening, Baltimore, MD",0.5766
24510080700,"Broadway East, Baltimore, MD",0.5726
24510270102,"Waltherson, Baltimore, MD",0.5717
24510070200,"Madison - Eastend, Baltimore, MD",0.5709
24005452400,"Dundalk, MD",0.5675
24510150100,"Sandtown-Winchester, Baltimore, MD",0.5667
24510090400,"Better Waverly, Baltimore, MD",0.5657
24510080301,"Berea, Baltimore, MD",0.5647
24510250402,"Brooklyn, Baltimore, MD",0.5641
24510120300,"Harwood, Baltimore, MD",0.5636
24510100100,"Johnson Square, Baltimore, MD",0.5634
24510271801,"Arlington, Baltimore, MD",0.5628
24510272006,"Glen, Baltimore, MD",0.5623
24510130200,"Reservoir Hill, Baltimore, MD",0.5621
24510160300,"Sandtown-Winchester, Baltimore, MD",0.5614
24510160600,"Mosher, Baltimore, MD",0.5606
24510090800,"East Baltimore Midway, Baltimore, MD",0.5597
24510080101,"Belair - Edison, Baltimore, MD",0.5587
24510150200,"Sandtown-Winchester, Baltimore, MD",0.5581
24510040200,"Downtown, Baltimore, MD",0.5577
24005400100,"Catonsville, MD",0.5562
24510070300,"Milton - Montford, Baltimore, MD",0.5549
24510120500,"Greenmount West, Baltimore, MD",0.5504
24510160100,"Harlem Park, Baltimore, MD",0.5496
24005400800,"Catonsville, MD",0.5481
24510260402,"Frankford, Baltimore, MD",0.5464
24510190100,"Franklin Square, Baltimore, MD",0.5455
24510250101,"Beechfield, Baltimore, MD",0.5453
24510140200,"Upton, Baltimore, MD",0.5445
24510280301,"Gwynn Oak, Baltimore, MD",0.5439
24510060400,"Baltimore, MD",0.5438
24510160200,"Sandtown-Winchester, Baltimore, MD",0.5421
24510160400,"Midtown Edmondson, Baltimore, MD",0.5418
24510080400,"Broadway East, Baltimore, MD",0.5398
24510200600,"Baltimore, MD",0.5394
24510260404,"Baltimore Highlands, Baltimore, MD",0.539
24510260301,"Belair - Edison, Baltimore, MD",0.5383
24510272003,"Baltimore, MD",0.5376
24510150300,"Coppin Heights, Baltimore, MD",0.5362
24510151300,"Central Park Heights, Baltimore, MD",0.5356
24510250401,"Brooklyn, Baltimore, MD",0.5354
24005450800,"Essex, MD",0.5342
24510130803,"Medfield, Baltimore, MD",0.5309
24510070100,"Baltimore, MD",0.5286
24510150600,"NW Community Action, Baltimore, MD",0.5275
24510260102,"Frankford, Baltimore, MD",0.5272
24510140300,"Druid Heights, Baltimore, MD",0.5269
24510130100,"Reservoir Hill, Baltimore, MD",0.5257
24003750101,"Brooklyn Park, MD",0.5255
24510150800,"Garwyn Oaks, Baltimore, MD",0.5237
24510260303,"Claremont - Freedom, Baltimore, MD",0.5231
24510200800,"Irvington, Baltimore, MD",0.5229
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.5223
24510271600,"Edgecomb, Baltimore, MD",0.5216
24510250207,"Cherry Hill, Baltimore, MD",0.5206
24510271002,"Winston - Govans, Baltimore, MD",0.5205
24510210100,"Pigtown, Baltimore, MD",0.5201
24005451500,"Middle River, MD",0.5184
24510120700,"Remington, Baltimore, MD",0.5166
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.5162
24510200200,"Lexington, Baltimore, MD",0.5146
24005421300,"Dundalk, MD",0.5124
24510020200,"Upper Fells Point, Baltimore, MD",0.5119
24510180300,"Hollins Market, Baltimore, MD",0.5113
24510270804,"Lake Walker, Baltimore, MD",0.5048
24510270901,"New Northwood, Baltimore, MD",0.5036
24510250102,"Yale Heights, Baltimore, MD",0.5036
24510150400,"Mondawmin, Baltimore, MD",0.5032
24510180200,"Poppleton, Baltimore, MD",0.5015
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.4989
24510151000,"Dorchester, Baltimore, MD",0.4987
24510151200,"Park Circle, Baltimore, MD",0.4984
24510160802,"Edmondson, Baltimore, MD",0.4973
24005440701,"Rosedale, MD",0.497
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.4967
24510272007,"Fallstaff, Baltimore, MD",0.4964
24510170100,"Downtown, Baltimore, MD",0.495
24510260201,"Frankford, Baltimore, MD",0.4947
24005402404,"Gwynn Oak, Lochearn, MD",0.4937
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.4937
24510130400,"Woodbrook, Baltimore, MD",0.4934
24510260302,"Belair - Edison, Baltimore, MD",0.4931
24510160801,"Edmondson, Baltimore, MD",0.491
24510150900,"Windsor Hills, Baltimore, MD",0.4903
24510220100,"Baltimore, MD",0.4903
24005403402,"Pikesville, MD",0.4891
24510260202,"Parkside, Baltimore, MD",0.4885
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.4876
24003750803,"Glen Burnie, MD",0.4864
24510270802,"Ramblewood, Baltimore, MD",0.4852
24510200702,"Saint Joseph's, Baltimore, MD",0.4852
24005403202,"Gwynn Oak, Baltimore, MD",0.4835
24510150701,"Hanlon Longwood, Baltimore, MD",0.4818
24510150702,"Walbrook, Baltimore, MD",0.4801
24005402307,"Pikesville, MD",0.4787
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.4777
24510280200,"Gwynn Oak, Baltimore, MD",0.4773
24510190200,"Pratt Monroe, Baltimore, MD",0.4763
24510280101,"Reisterstown Station, Baltimore, MD",0.4727
24510200701,"Allendale, Baltimore, MD",0.4713
24510280403,"Westgate, Baltimore, MD",0.4695
24510271700,"Central Park Heights, Baltimore, MD",0.4682
24510280404,"Irvington, Baltimore, MD",0.464
24510270902,"Perring Loch, Baltimore, MD",0.4639
24005451300,"Middle River, MD",0.4606
24005441102,"Rosedale, MD",0.457
24005402304,"Gwynn Oak, Baltimore, MD",0.4569
24005491401,"Parkville, MD",0.4559
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.4558
24510272005,"Cross Country, Baltimore, MD",0.4521
24027602900,"Normandy, Ellicott City, MD",0.4502
24510271900,"Glen, Baltimore, MD",0.4498
24005491100,"Baltimore, MD",0.4495
24510180100,"Poppleton, Baltimore, MD",0.4494
24005403401,"Pikesville, MD",0.4477
24510270903,"Hillen, Baltimore, MD",0.4457
24005441000,"Baltimore, MD",0.4453
24510270805,"Mid-Govans, Baltimore, MD",0.4443
24005450504,"Essex, MD",0.4436
24005402602,"Randallstown, MD",0.4421
24510160700,"Rosemont, Baltimore, MD",0.4372
24005402406,"Windsor Mill, Milford Mill, MD",0.4368
24005402305,"Lochearn, Pikesville, MD",0.4353
24005401101,"Woodlawn, MD",0.4347
24005451402,"Middle River, MD",0.4337
24005402303,"Windsor Mill, Baltimore, MD",0.4322
24510270302,"Waltherson, Baltimore, MD",0.4315
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.4303
24510260203,"Frankford, Baltimore, MD",0.4286
24510270803,"Loch Raven, Baltimore, MD",0.4281
24005420401,"Dundalk, MD",0.4264
24005451100,"Essex, MD",0.4263
24003751102,"Glen Burnie, MD",0.4248
24510280402,"Rognel Heights, Baltimore, MD",0.4247
24005450503,"Essex, MD",0.424
24510250500,"Curtis Bay, Baltimore, MD",0.4167
24510250205,"Lakeland, Baltimore, MD",0.4163
24005451401,"Middle River, MD",0.4158
24005430400,"Halethorpe, MD",0.4135
24510151100,"East Arlington, Baltimore, MD",0.4129
24510270200,"Lauraville, Baltimore, MD",0.4124
24005401507,"Windsor Mill, Baltimore, MD",0.4114
24005402604,"Randallstown, MD",0.4099
24005402302,"Windsor Mill, Milford Mill, MD",0.4084
24510270501,"Woodring, Baltimore, MD",0.4052
24027601201,"Elkridge, MD",0.4035
24510271101,"Radnor - Winston, Baltimore, MD",0.4016
24510270502,"North Harford Road, Baltimore, MD",0.4006
24510280401,"Baltimore, MD",0.3958
24510270801,"Idlewood, Baltimore, MD",0.3951
24005402407,"Windsor Mill, Milford Mill, MD",0.3943
24005452000,"Sparrows Point, MD",0.3923
24005401302,"Gwynn Oak, Baltimore, MD",0.3894
24005402503,"Randallstown, MD",0.3888
24027606706,"Kendall Ridge, Columbia, MD",0.3869
24510270401,"Glenham-Belford, Baltimore, MD",0.3863
24005402306,"Windsor Mill, Baltimore, MD",0.3858
24510280102,"Gwynn Oak, Baltimore, MD",0.3844
24510280302,"West Forest Park, Baltimore, MD",0.3815
24510260800,"Baltimore Highlands, Baltimore, MD",0.3809
24005401200,"Woodlawn, MD",0.3777
24510110100,"Downtown, Baltimore, MD",0.3725
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3714
24005402405,"Gwynn Oak, Baltimore, MD",0.3662
24005403300,"Lochearn, Pikesville, MD",0.3636
24005440400,"Baltimore, MD",0.3623
24005403100,"Gwynn Oak, Pikesville, MD",0.3604
24005403201,"Gwynn Oak, Lochearn, MD",0.3598
24027606604,"Columbia, MD",0.3594
24005402504,"Randallstown, MD",0.3586
24005401102,"Gwynn Oak, Woodlawn, MD",0.3581
24510130805,"Cold Springs, Baltimore, MD",0.356
24005440300,"Nottingham, MD",0.3543
24003750201,"Brooklyn, Baltimore, MD",0.3509
24005402403,"Gwynn Oak, Baltimore, MD",0.3478
24005401301,"Woodlawn, MD",0.3455
24005401506,"Windsor Mill, Baltimore, MD",0.3395
24005440702,"Rosedale, MD",0.3318
24005402506,"Randallstown, MD",0.3304
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.3203
24005491300,"Baltimore, MD",0.3185
24005400702,"Baltimore, MD",0.3129
24510270703,"North Harford Road, Baltimore, MD",0.3109
24027602600,"Ellicott City, MD",0.3056
24005401000,"Catonsville, MD",0.2862
24510270301,"Lauraville, Baltimore, MD",0.2804
24510271200,"Homeland, Baltimore, MD",0.2738
24005403602,"Baltimore, MD",0.2705
24005400701,"Catonsville, MD",0.2702
24027601108,"Ellicott City, MD",0.2623
24005440900,"Rosedale, MD",0.2519
24510230100,"Baltimore, MD",0.2518
24027606707,"Columbia, MD",0.2479
24027601204,"Elkridge, MD",0.2371
24005400600,"Catonsville, MD",0.2275
24027606606,"Long Reach, Columbia, MD",0.2222
24027602302,"Columbia, MD",0.2211
24510250103,"Violetville, Baltimore, MD",0.2179
24027606607,"Long Reach, Columbia, MD",0.1964
24005401504,"Catonsville, MD",0.1878
24003750804,"Glen Burnie, MD",0.1741
24510271501,"Mount Washington, Baltimore, MD",0.1682
24027602800,"Ellicott City, MD",0.1244
24005430600,"Relay, Halethorpe, MD",
24510130806,"Woodberry, Baltimore, MD",
24005492500,"Baltimore, MD",
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005451200,"Middle River, MD",
24510120201,"Baltimore, MD",
24005420302,"Dundalk, MD",
24005450900,"Essex, MD",
24005421200,"Dundalk, MD",
24005420100,"Dundalk, MD",
24510230200,"South Baltimore, Baltimore, MD",
24005420800,"Dundalk, MD",
24005421102,"Dundalk, MD",
24005420301,"Dundalk, MD",
24005402202,"Baltimore County, MD",
24510010300,"Canton, Baltimore, MD",
24005440600,"Rosedale, MD",
24005420701,"Dundalk, MD",
24510240400,"Riverside Park, Baltimore, MD",
24510260900,"Baltimore, MD",
24510120202,"Baltimore, MD",
24005403500,"Pikesville, MD",
24510020300,"Fells Point, Baltimore, MD",
24005450100,"Rosedale, MD",
24510250206,"Morrell Park, Baltimore, MD",
24005420303,"Dundalk, MD",
24005401503,"Catonsville, MD",
24005440800,"Rosedale, MD",
24003750202,"Brooklyn Park, MD",
24027601103,"West Elkridge, Elkridge, MD",
24003750102,"Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24003750400,"Linthicum Heights, MD",
24005451701,"Middle River, MD",
24005452300,"Baltimore, MD",
24005452500,"Dundalk, MD",
24510260501,"Joseph Lee, Baltimore, MD",
24005440100,"Baltimore, MD",
24510230300,"South Baltimore, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24005420200,"Dundalk, MD",
24005451600,"Middle River, MD",
24005450200,"Essex, MD",
24005440500,"Nottingham, MD",
24003751200,"Linthicum Heights, MD",
24005451900,"Edgemere, MD",
24005490601,"Baltimore, MD",
24005430800,"Halethorpe, MD",
24005420402,"Dundalk, MD",
24510240300,"Riverside, Baltimore, MD",
24510130700,"Hampden, Baltimore, MD",
24005450400,"Essex, MD",
24510240200,"Riverside, Baltimore, MD",
24005421000,"Dundalk, MD",
24510010100,"Canton, Baltimore, MD",
24005441101,"Rosedale, MD",
24510010400,"Canton, Baltimore, MD",
24005490500,"Towson, MD",
24510261100,"Canton, Baltimore, MD",
24005420500,"Baltimore, MD",
24005452100,"Sparrows Point, MD",
24005401400,"Catonsville, MD",
24027601104,"Ellicott City, MD",
24510130804,"Hampden, Baltimore, MD",
24510260700,"Fifteenth Street, Baltimore, MD",
24003750300,"Linthicum Heights, MD",
24005400200,"Catonsville, MD",
24003750203,"Baltimore, MD",
24027602700,"Taylor Village, Ellicott City, MD",
24005490603,"Baltimore, MD",
24510271400,"Evergreen, Baltimore, MD",
24005451000,"Essex, MD",
24005420702,"Dundalk, MD",
24510240100,"Locust Point, Baltimore, MD",
24510272004,"Cheswolde, Baltimore, MD",
24005420600,"Baltimore, MD",
24027602100,"Ellicott City, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510250303,"Morrell Park, Baltimore, MD",
24005400500,"Catonsville, MD",
24005492102,"Parkville, MD",
24005430700,"Halethorpe, MD",
24005403601,"Baltimore, MD",
24005411302,"White Marsh, MD",
24510271503,"Cross Keys, Baltimore, MD",
24005440200,"Nottingham, MD",
24510271300,"Roland Park, Baltimore, MD",
24027601105,"Ellicott City, MD",
24005400400,"Catonsville, MD",
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",
24510260401,"Armistead Gardens, Baltimore, MD",
24510010500,"Upper Fells Point, Baltimore, MD",
24005450300,"Essex, MD",
24510020100,"Upper Fells Point, Baltimore, MD",
24510130600,"Hampden, Baltimore, MD",
24510271102,"Mid-Charles, Baltimore, MD",
24003750801,"Glen Burnie, MD",